Polo;Operação;Data Carga;Carga;NF;Cód. Produto;Descrição Produto;Quant.;Data Devolução;Check;chave_acesso;usuario;data_conferencia;meudanfe_sucesso;meudanfe_erro
Polo SP;Entrega;30/11/2025;2222;19635523;001-005356490;TV 55 LG QNED 4K 55QNED70ASA WIFI/BT/HDMI;1.0;30/11/2025;;33251133041260048604550000196355231121350380;polo_sp;30/11/2025 11:22:43;True;
Polo SP;Abastecimento;30/11/2025;23131;38327522;001-004713664;COZ COMPACTA 3PCS PAN/ARM DUP/GEL BAR JASPE DAM/BR;1.0;30/11/2025;;35251133041260161508550000383275221121351173;polo_sp;30/11/2025 11:26:26;True;
Polo SP;Abastecimento;30/11/2025;23131;38327522;001-004713672;BALC DUP 2 PORTAS BARTIRA JASPE DAMASCO/BRANCO.;1.0;30/11/2025;;35251133041260161508550000383275221121351173;polo_sp;30/11/2025 11:26:26;True;
Polo SP;Coleta;30/11/2025;23231;2504;ESP 300502;PINO DE CENTRO 9 16 X 7 CB;4.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;PC 11705;PORCA SIMPLES 9 16 NF;12.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;PF 709454;PARAFUSO 3 8 X 4 1 2 NF;5.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;PC 5605;PORCA SIMPLES 3 8 NF;5.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;5301 1;1  MOLA CARRETA RANDON   ASA DELTA 88 9X11 1X 541X541;3.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;BU 3116;BUCHA TIRANTE RANDON 2000   SILENCIOSA;8.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;PF 804062;PARAFUSO 24 X 125 PASSE 2 00 ACO 10 9;3.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;PC 46844;PORCA AUTOTRAVANTE C  NYLON 24MM PASSE 2 00;8.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;AR 03;ARRUELA DIANTEIRA MRB;4.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;MPB 0199 10 07;MANCAL PINO BALANCA CARRETA RANDON 50MM;8.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;0207 01 13;CHAVETA CONICA PARA MANCAL RANDON RODOVIARIO;8.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;BL 001;BALANCA CARRETA RANDON ASA DELTA 50MM;2.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;PIB 0199 09 02;PINO BALANCA CARRETA SL RANDON 50mm X 205mm;4.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;1010134994;ENGRAXADEIRA 3 8 RETA;5.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;PC 17608;PORCA DUPLA 7 8 NF;4.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;PF 708452;PARAFUSO 5 8 X 5 NC;1.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
Polo SP;Coleta;30/11/2025;23231;2504;PC 12764;PORCA SIMPLES 5 8 NC;1.0;30/11/2025;;35251052572135000125550010000025041000486131;polo_sp;30/11/2025 11:27:13;True;
